U+1F601	\xF0\x9F\x98\x81
U+1F602	\xF0\x9F\x98\x82
U+1F603	\xF0\x9F\x98\x83
U+1F604	\xF0\x9F\x98\x84
U+1F605	\xF0\x9F\x98\x85
U+1F606	\xF0\x9F\x98\x86
U+1F609	\xF0\x9F\x98\x89
U+1F60A	\xF0\x9F\x98\x8A
U+1F60B	\xF0\x9F\x98\x8B
U+1F60C	\xF0\x9F\x98\x8C
U+1F60D	\xF0\x9F\x98\x8D
U+1F60F	\xF0\x9F\x98\x8F
U+1F612	\xF0\x9F\x98\x92
U+1F613	\xF0\x9F\x98\x93
U+1F614	\xF0\x9F\x98\x94
U+1F616	\xF0\x9F\x98\x96
U+1F618	\xF0\x9F\x98\x98
U+1F61A	\xF0\x9F\x98\x9A
U+1F61C	\xF0\x9F\x98\x9C
U+1F61D	\xF0\x9F\x98\x9D
U+1F61E	\xF0\x9F\x98\x9E
U+1F620	\xF0\x9F\x98\xA0
U+1F621	\xF0\x9F\x98\xA1
U+1F622	\xF0\x9F\x98\xA2
U+1F623	\xF0\x9F\x98\xA3
U+1F624	\xF0\x9F\x98\xA4
U+1F625	\xF0\x9F\x98\xA5
U+1F628	\xF0\x9F\x98\xA8
U+1F629	\xF0\x9F\x98\xA9
U+1F62A	\xF0\x9F\x98\xAA
U+1F62B	\xF0\x9F\x98\xAB
U+1F62D	\xF0\x9F\x98\xAD
U+1F630	\xF0\x9F\x98\xB0
U+1F631	\xF0\x9F\x98\xB1
U+1F632	\xF0\x9F\x98\xB2
U+1F633	\xF0\x9F\x98\xB3
U+1F635	\xF0\x9F\x98\xB5
U+1F637	\xF0\x9F\x98\xB7
U+1F638	\xF0\x9F\x98\xB8
U+1F639	\xF0\x9F\x98\xB9
U+1F63A	\xF0\x9F\x98\xBA
U+1F63B	\xF0\x9F\x98\xBB
U+1F63C	\xF0\x9F\x98\xBC
U+1F63D	\xF0\x9F\x98\xBD
U+1F63E	\xF0\x9F\x98\xBE
U+1F63F	\xF0\x9F\x98\xBF
U+1F640	\xF0\x9F\x99\x80
U+1F645	\xF0\x9F\x99\x85
U+1F646	\xF0\x9F\x99\x86
U+1F647	\xF0\x9F\x99\x87
U+1F648	\xF0\x9F\x99\x88
U+1F649	\xF0\x9F\x99\x89
U+1F64A	\xF0\x9F\x99\x8A
U+1F64B	\xF0\x9F\x99\x8B
U+1F64C	\xF0\x9F\x99\x8C
U+1F64D	\xF0\x9F\x99\x8D
U+1F64E	\xF0\x9F\x99\x8E
U+1F64F	\xF0\x9F\x99\x8F
U+2702	\xE2\x9C\x82
U+2705	\xE2\x9C\x85
U+2708	\xE2\x9C\x88
U+2709	\xE2\x9C\x89
U+270A	\xE2\x9C\x8A
U+270B	\xE2\x9C\x8B
U+270C	\xE2\x9C\x8C
U+270F	\xE2\x9C\x8F
U+2712	\xE2\x9C\x92
U+2714	\xE2\x9C\x94
U+2716	\xE2\x9C\x96
U+2728	\xE2\x9C\xA8
U+2733	\xE2\x9C\xB3
U+2734	\xE2\x9C\xB4
U+2744	\xE2\x9D\x84
U+2747	\xE2\x9D\x87
U+274C	\xE2\x9D\x8C
U+274E	\xE2\x9D\x8E
U+2753	\xE2\x9D\x93
U+2754	\xE2\x9D\x94
U+2755	\xE2\x9D\x95
U+2757	\xE2\x9D\x97
U+2764	\xE2\x9D\xA4
U+2795	\xE2\x9E\x95
U+2796	\xE2\x9E\x96
U+2797	\xE2\x9E\x97
U+27A1	\xE2\x9E\xA1
U+27B0	\xE2\x9E\xB0
U+1F680	\xF0\x9F\x9A\x80
U+1F683	\xF0\x9F\x9A\x83
U+1F684	\xF0\x9F\x9A\x84
U+1F685	\xF0\x9F\x9A\x85
U+1F687	\xF0\x9F\x9A\x87
U+1F689	\xF0\x9F\x9A\x89
U+1F68C	\xF0\x9F\x9A\x8C
U+1F68F	\xF0\x9F\x9A\x8F
U+1F691	\xF0\x9F\x9A\x91
U+1F692	\xF0\x9F\x9A\x92
U+1F693	\xF0\x9F\x9A\x93
U+1F695	\xF0\x9F\x9A\x95
U+1F697	\xF0\x9F\x9A\x97
